vin;time;mac_address;name;vehicle_speed;latitude;longitude;altitude;battery_voltage;humidity;low_battery;temperature
WSXFP10200LD10194;2024-08-10 04:39:30.106000 +00:00;7C:D9:F4:01:8F:EE;Botte;0.222656;45.406397166666665;10.003808333333334;58;2000;;false;
WSXFP10200LD10194;2024-08-10 04:39:32.147000 +00:00;7C:D9:F4:00:C1:FB;Carro37;0.222656;45.40640233333333;10.003803833333334;55.8;4440;;false;
WSXFP10200LD10194;2024-08-10 04:40:25.187000 +00:00;7C:D9:F4:00:C1:FB;Carro37;0;45.40645233333333;10.003753666666668;95.2;2000;;false;
WSXFP10200LD10194;2024-08-10 04:40:25.981000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.40645216666667;10.003750833333335;95.7;3060;;false;
WSXFP10200LD10194;2024-08-10 04:51:56.756000 +00:00;7C:D9:F4:01:8F:EE;Botte;0.929688;45.4064925;10.003781166666666;78.5;4440;;false;
WSXFP10200LD10194;2024-08-10 04:51:57.529000 +00:00;7C:D9:F4:00:C1:FB;Carro37;0.976563;45.406497333333334;10.003777499999998;78.8;2000;;false;
WSXFP10200LD10194;2024-08-10 04:55:02.161000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.407770166666666;10.003025666666666;76.9;4430;;false;
WSXFP10200LD10194;2024-08-10 04:59:48.897000 +00:00;7C:D9:F4:01:8F:EE;Botte;1.07813;45.40779850000001;10.00310733333333;83.8;3060;;false;
WSXFP10200LD10194;2024-08-10 05:03:15.696000 +00:00;7C:D9:F4:01:8F:EE;Botte;13.457;45.40787333333333;10.005610666666666;77.7;2000;;false;
WSXFP10200LD10194;2024-08-10 05:06:42.754000 +00:00;7C:D9:F4:01:8F:EE;Botte;16;45.41591783333333;10.013358666666665;80.3;2000;;false;
WSXFP10200LD10194;2024-08-10 05:10:10.460000 +00:00;7C:D9:F4:01:8F:EE;Botte;27.9883;45.431733833333325;10.014974833333333;87.6;2000;;false;
WSXFP10200LD10194;2024-08-10 05:13:34.456000 +00:00;7C:D9:F4:01:8F:EE;Botte;40.6172;45.446963000000004;10.0155155;96.4;2000;;false;
WSXFP10200LD10194;2024-08-10 05:16:58.646000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.2852;45.465947;10.030667833333332;100.3;4430;;false;
WSXFP10200LD10194;2024-08-10 05:20:24.936000 +00:00;7C:D9:F4:01:8F:EE;Botte;35.5547;45.47959383333333;10.037733166666666;103.3;2000;;false;
WSXFP10200LD10194;2024-08-10 05:23:53.016000 +00:00;7C:D9:F4:01:8F:EE;Botte;15.4688;45.490538666666666;10.0456265;118.8;4440;;false;
WSXFP10200LD10194;2024-08-10 05:25:58.396000 +00:00;7C:D9:F4:01:8F:EE;Botte;0;45.49194049999999;10.046699;120.1;4440;;false;
WSXFP10200LD10194;2024-08-10 05:29:49.960000 +00:00;7C:D9:F4:01:8F:EE;Botte;6.40234;45.49192516666667;10.0466145;104;2000;;false;
WSXFP10200LD10194;2024-08-10 05:33:14.487000 +00:00;7C:D9:F4:01:8F:EE;Botte;46.3242;45.48976233333333;10.039876166666666;113.2;2930;;false;
WSXFP10200LD10194;2024-08-10 05:36:39.507000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.168;45.47332766666667;10.039432666666666;107.4;2000;;false;
WSXFP10200LD10194;2024-08-10 05:40:02.734000 +00:00;7C:D9:F4:01:8F:EE;Botte;51.6953;45.453821;10.016134500000001;101.8;4450;;false;
